Snapshot_Date,Material_ID,Plant_ID,Stock_Status,Quantity,Unit_Cost_EUR,Inventory_Value_EUR
31/01/2026,CMP-1001,PLT-1000,Unrestricted,8,€ 640.00,€ 5 120.00
31/01/2026,CMP-1001,PLT-1000,Quality Inspection,12,€ 640.00,€ 7 680.00
31/01/2026,CMP-1001,PLT-1000,Reserved,5,€ 640.00,€ 3 200.00
31/01/2026,CMP-1001,PLT-1000,In Transit,6,€ 640.00,€ 3 840.00
31/01/2026,CMP-1001,PLT-2000,Unrestricted,32,€ 640.00,€ 20 480.00
31/01/2026,CMP-1001,PLT-2000,Reserved,3,€ 640.00,€ 1 920.00
31/01/2026,CMP-1001,PLT-2000,In Transit,8,€ 640.00,€ 5 120.00
31/01/2026,CMP-1002,PLT-1000,Unrestricted,18,€ 82.00,€ 1 476.00
31/01/2026,CMP-1002,PLT-1000,Quality Inspection,10,€ 82.00,€ 820.00
31/01/2026,CMP-1002,PLT-1000,Blocked,2,€ 82.00,€ 164.00
31/01/2026,CMP-1002,PLT-1000,Reserved,6,€ 82.00,€ 492.00
31/01/2026,CMP-1002,PLT-2000,Unrestricted,44,€ 82.00,€ 3 608.00
31/01/2026,CMP-1002,PLT-2000,Reserved,4,€ 82.00,€ 328.00
31/01/2026,CMP-1003,PLT-1000,Unrestricted,17,€ 46.00,€ 782.00
31/01/2026,CMP-1003,PLT-1000,Reserved,7,€ 46.00,€ 322.00
31/01/2026,CMP-1003,PLT-1000,In Transit,6,€ 46.00,€ 276.00
31/01/2026,CMP-1003,PLT-2000,Unrestricted,16,€ 46.00,€ 736.00
31/01/2026,CMP-1003,PLT-2000,Reserved,4,€ 46.00,€ 184.00
31/01/2026,CMP-1003,PLT-2000,In Transit,1,€ 46.00,€ 46.00
31/01/2026,CMP-1004,PLT-1000,Unrestricted,5,€ 420.00,€ 2 100.00
31/01/2026,CMP-1004,PLT-1000,Reserved,2,€ 420.00,€ 840.00
31/01/2026,CMP-1004,PLT-1000,In Transit,6,€ 420.00,€ 2 520.00
31/01/2026,CMP-1004,PLT-2000,Unrestricted,26,€ 420.00,€ 10 920.00
31/01/2026,CMP-1004,PLT-2000,Reserved,1,€ 420.00,€ 420.00
31/01/2026,CMP-1004,PLT-2000,In Transit,6,€ 420.00,€ 2 520.00
31/01/2026,CMP-1005,PLT-1000,Unrestricted,15,€ 175.00,€ 2 625.00
31/01/2026,CMP-1005,PLT-1000,Reserved,4,€ 175.00,€ 700.00
31/01/2026,CMP-1005,PLT-2000,Unrestricted,20,€ 175.00,€ 3 500.00
31/01/2026,CMP-1005,PLT-2000,Reserved,5,€ 175.00,€ 875.00
31/01/2026,CMP-1005,PLT-2000,In Transit,6,€ 175.00,€ 1 050.00
31/01/2026,CMP-1006,PLT-1000,Unrestricted,21,€ 220.00,€ 4 620.00
31/01/2026,CMP-1006,PLT-1000,Reserved,2,€ 220.00,€ 440.00
31/01/2026,CMP-1006,PLT-1000,In Transit,4,€ 220.00,€ 880.00
31/01/2026,CMP-1006,PLT-2000,Unrestricted,23,€ 220.00,€ 5 060.00
31/01/2026,CMP-1006,PLT-2000,Reserved,2,€ 220.00,€ 440.00
31/01/2026,CMP-1006,PLT-2000,In Transit,3,€ 220.00,€ 660.00
31/01/2026,CMP-1007,PLT-1000,Unrestricted,35,€ 135.00,€ 4 725.00
31/01/2026,CMP-1007,PLT-1000,Reserved,2,€ 135.00,€ 270.00
31/01/2026,CMP-1007,PLT-1000,In Transit,8,€ 135.00,€ 1 080.00
