PO_ID,PO_Line,Supplier_ID,Material_ID,Plant_ID,PO_Creation_Date,Required_Delivery_Date,Confirmed_Delivery_Date,Actual_Receipt_Date,Ordered_Qty,Received_Qty,Unit_Price_EUR,PO_Status,Quality_Accepted_Qty,Quality_Rejected_Qty,Actual_Lead_Time_Days,Delivery_Delay_Days,On_Time_Flag,Open_Qty,Quality_Rejection_Rate
PO-5001,10,SUP-001,CMP-1001,PLT-1000,20/12/2025,20/01/2026,22/01/2026,25/01/2026,20,20,€ 635.00,Received,20,0,36,5,FALSE,0,0.00 %
PO-5002,10,SUP-001,CMP-1001,PLT-1000,28/01/2026,18/02/2026,21/02/2026,24/02/2026,18,18,€ 642.00,Received,18,0,27,6,FALSE,0,0.00 %
PO-5003,10,SUP-001,CMP-1001,PLT-2000,10/01/2026,10/02/2026,08/02/2026,08/02/2026,25,25,€ 638.00,Received,25,0,29,-2,TRUE,0,0.00 %
PO-5004,10,SUP-002,CMP-1002,PLT-1000,05/01/2026,25/01/2026,24/01/2026,24/01/2026,40,40,€ 80.00,Received,30,10,19,-1,TRUE,0,25.00 %
PO-5005,10,SUP-002,CMP-1002,PLT-1000,02/02/2026,22/02/2026,22/02/2026,23/02/2026,35,35,€ 83.00,Received,28,7,21,1,FALSE,0,20.00 %
PO-5006,10,SUP-004,CMP-1004,PLT-1000,15/12/2025,10/01/2026,15/01/2026,20/01/2026,12,12,€ 415.00,Received,12,0,36,10,FALSE,0,0.00 %
PO-5007,10,SUP-004,CMP-1004,PLT-1000,20/01/2026,05/02/2026,18/02/2026,24/02/2026,10,10,€ 425.00,Received,10,0,35,19,FALSE,0,0.00 %
PO-5008,10,SUP-004,CMP-1004,PLT-1000,18/02/2026,05/03/2026,18/03/2026,25/03/2026,14,14,€ 430.00,Received,14,0,35,20,FALSE,0,0.00 %
PO-5009,10,SUP-005,CMP-1005,PLT-1000,12/01/2026,30/01/2026,31/01/2026,02/02/2026,30,30,€ 172.00,Received,30,0,21,3,FALSE,0,0.00 %
PO-5010,10,SUP-007,CMP-1009,PLT-1000,25/01/2026,20/02/2026,20/02/2026,27/02/2026,20,18,€ 96.00,Partially Received,18,0,33,7,FALSE,2,0.00 %
PO-5011,10,SUP-008,CMP-1010,PLT-1000,05/01/2026,15/01/2026,14/01/2026,14/01/2026,150,150,€ 17.50,Received,150,0,9,-1,TRUE,0,0.00 %
PO-5012,10,SUP-008,CMP-1015,PLT-1000,05/01/2026,15/01/2026,14/01/2026,14/01/2026,300,300,€ 4.40,Received,300,0,9,-1,TRUE,0,0.00 %
PO-5013,10,SUP-003,CMP-1003,PLT-1000,03/01/2026,18/01/2026,18/01/2026,22/01/2026,52,52,€ 45.38,Received,52,0,19,4,FALSE,0,0.00 %
PO-5014,10,SUP-006,CMP-1006,PLT-1000,03/01/2026,16/01/2026,16/01/2026,16/01/2026,53,53,€ 221.22,Received,53,0,13,0,TRUE,0,0.00 %
PO-5015,10,SUP-006,CMP-1011,PLT-2000,03/01/2026,16/01/2026,16/01/2026,20/01/2026,31,31,€ 146.51,Received,31,0,17,4,FALSE,0,0.00 %
PO-5016,10,SUP-005,CMP-1013,PLT-2000,03/01/2026,20/01/2026,20/01/2026,20/01/2026,31,31,€ 27.64,Received,31,0,17,0,TRUE,0,0.00 %
PO-5017,10,SUP-003,CMP-1003,PLT-1000,03/02/2026,18/02/2026,18/02/2026,17/02/2026,55,55,€ 45.22,Received,55,0,14,-1,TRUE,0,0.00 %
PO-5018,10,SUP-006,CMP-1006,PLT-1000,03/02/2026,16/02/2026,16/02/2026,20/02/2026,26,26,€ 225.32,Received,26,0,17,4,FALSE,0,0.00 %
PO-5019,10,SUP-006,CMP-1011,PLT-2000,03/02/2026,16/02/2026,16/02/2026,15/02/2026,35,35,€ 143.49,Received,35,0,12,-1,TRUE,0,0.00 %
PO-5020,10,SUP-005,CMP-1013,PLT-2000,03/02/2026,20/02/2026,20/02/2026,19/02/2026,26,26,€ 28.15,Received,26,0,16,-1,TRUE,0,0.00 %
PO-5021,10,SUP-003,CMP-1003,PLT-1000,03/03/2026,18/03/2026,18/03/2026,17/03/2026,24,24,€ 46.10,Received,24,0,14,-1,TRUE,0,0.00 %
PO-5022,10,SUP-006,CMP-1006,PLT-1000,03/03/2026,16/03/2026,16/03/2026,16/03/2026,37,37,€ 220.58,Received,37,0,13,0,TRUE,0,0.00 %
PO-5023,10,SUP-006,CMP-1011,PLT-2000,03/03/2026,16/03/2026,16/03/2026,20/03/2026,52,52,€ 148.93,Received,52,0,17,4,FALSE,0,0.00 %
PO-5024,10,SUP-005,CMP-1013,PLT-2000,03/03/2026,20/03/2026,20/03/2026,22/03/2026,55,55,€ 28.69,Received,55,0,19,2,FALSE,0,0.00 %
