BOM_ID,Finished_Product_ID,BOM_Version,Component_Line,Component_Material_ID,Quantity_Per_Unit,Scrap_Factor_Percent,Effective_From,Effective_To,Active_Status
BOM-1001,FG-1001,V1,10,CMP-1001,1,0.00 %,01/01/2026,,TRUE
BOM-1001,FG-1001,V1,11,CMP-1002,1,0.00 %,01/01/2026,,TRUE
BOM-1001,FG-1001,V1,12,CMP-1003,1,0.00 %,01/01/2026,,TRUE
BOM-1001,FG-1001,V1,13,CMP-1006,1,0.00 %,01/01/2026,,TRUE
BOM-1001,FG-1001,V1,14,CMP-1007,1,0.00 %,01/01/2026,,TRUE
BOM-1001,FG-1001,V1,15,CMP-1008,1,0.00 %,01/01/2026,,TRUE
BOM-1001,FG-1001,V1,16,CMP-1004,1,0.00 %,01/01/2026,,TRUE
BOM-1001,FG-1001,V1,17,CMP-1010,1,2.00 %,01/01/2026,,TRUE
BOM-1002,FG-1002,V1,10,CMP-1001,1,0.00 %,01/01/2026,,TRUE
BOM-1002,FG-1002,V1,11,CMP-1002,2,0.00 %,01/01/2026,,TRUE
BOM-1002,FG-1002,V1,12,CMP-1003,2,0.00 %,01/01/2026,,TRUE
BOM-1002,FG-1002,V1,13,CMP-1005,2,0.00 %,01/01/2026,,TRUE
BOM-1002,FG-1002,V1,14,CMP-1008,1,0.00 %,01/01/2026,,TRUE
BOM-1002,FG-1002,V1,15,CMP-1009,1,0.00 %,01/01/2026,,TRUE
BOM-1002,FG-1002,V1,16,CMP-1004,1,0.00 %,01/01/2026,,TRUE
BOM-1002,FG-1002,V1,17,CMP-1010,2,2.00 %,01/01/2026,,TRUE
BOM-2001,FG-2001,V1,10,CMP-1012,1,0.00 %,01/01/2026,,TRUE
BOM-2001,FG-2001,V1,11,CMP-1013,4,0.00 %,01/01/2026,,TRUE
BOM-2001,FG-2001,V1,12,CMP-1005,4,0.00 %,01/01/2026,,TRUE
BOM-2001,FG-2001,V1,13,CMP-1011,2,0.00 %,01/01/2026,,TRUE
BOM-2001,FG-2001,V1,14,CMP-1009,2,0.00 %,01/01/2026,,TRUE
BOM-2001,FG-2001,V1,15,CMP-1004,1,0.00 %,01/01/2026,,TRUE
BOM-2001,FG-2001,V1,16,CMP-1010,3,2.00 %,01/01/2026,,TRUE
BOM-3001,FG-3001,V1,10,CMP-1014,2,0.00 %,01/01/2026,,TRUE
BOM-3001,FG-3001,V1,11,CMP-1009,1,0.00 %,01/01/2026,,TRUE
BOM-3001,FG-3001,V1,12,CMP-1004,1,0.00 %,01/01/2026,,TRUE
BOM-3001,FG-3001,V1,13,CMP-1005,2,0.00 %,01/01/2026,,TRUE
BOM-3001,FG-3001,V1,14,CMP-1015,8,2.00 %,01/01/2026,,TRUE
BOM-3001,FG-3001,V1,15,CMP-1010,2,2.00 %,01/01/2026,,TRUE
BOM-4001,FG-4001,V1,10,CMP-1005,3,0.00 %,01/01/2026,,TRUE
BOM-4001,FG-4001,V1,11,CMP-1011,2,0.00 %,01/01/2026,,TRUE
BOM-4001,FG-4001,V1,12,CMP-1009,1,0.00 %,01/01/2026,,TRUE
BOM-4001,FG-4001,V1,13,CMP-1010,2,2.00 %,01/01/2026,,TRUE
