Production_Order_ID,Finished_Product_ID,Plant_ID,Order_Creation_Date,Planned_Start_Date,Actual_Start_Date,Planned_End_Date,Actual_End_Date,Planned_Qty,Actual_Qty,Order_Status,Delay_Reason,Material_Shortage_Flag,Production_Priority,Planned_Duration_Days,Actual_Duration_Days,Completion_Delay_Days
PRD-7001,FG-1001,PLT-1000,08/01/2026,15/01/2026,17/01/2026,18/01/2026,22/01/2026,12,12,Completed,Material Shortage,TRUE,High,3,5,4
PRD-7002,FG-1002,PLT-1000,13/01/2026,20/01/2026,24/01/2026,25/01/2026,31/01/2026,8,8,Completed,Material Shortage,TRUE,High,5,7,6
PRD-7003,FG-2001,PLT-2000,11/01/2026,18/01/2026,18/01/2026,27/01/2026,27/01/2026,4,4,Completed,No Delay,FALSE,Normal,9,9,0
PRD-7004,FG-3001,PLT-1000,18/01/2026,25/01/2026,29/01/2026,02/02/2026,08/02/2026,5,5,Completed,Supplier Delay,TRUE,Urgent,8,10,6
PRD-7005,FG-4001,PLT-2000,15/01/2026,22/01/2026,22/01/2026,28/01/2026,29/01/2026,10,10,Completed,Capacity Constraint,FALSE,Normal,6,7,1
PRD-7006,FG-1001,PLT-1000,03/02/2026,10/02/2026,15/02/2026,13/02/2026,19/02/2026,15,15,Completed,Quality Hold,TRUE,Urgent,3,4,6
PRD-7007,FG-1002,PLT-1000,05/02/2026,12/02/2026,16/02/2026,18/02/2026,23/02/2026,10,9,Completed,Material Shortage,TRUE,High,6,7,5
PRD-7008,FG-2001,PLT-2000,08/02/2026,15/02/2026,15/02/2026,24/02/2026,24/02/2026,5,5,Completed,No Delay,FALSE,Normal,9,9,0
PRD-7009,FG-3001,PLT-1000,11/02/2026,18/02/2026,23/02/2026,26/02/2026,05/03/2026,6,6,Completed,Supplier Delay,TRUE,Urgent,8,10,7
PRD-7010,FG-4001,PLT-2000,13/02/2026,20/02/2026,20/02/2026,26/02/2026,26/02/2026,12,12,Completed,No Delay,FALSE,Normal,6,6,0
PRD-7011,FG-1001,PLT-1000,01/03/2026,08/03/2026,12/03/2026,11/03/2026,17/03/2026,14,14,Completed,Material Shortage,TRUE,High,3,5,6
PRD-7012,FG-1002,PLT-1000,03/03/2026,10/03/2026,14/03/2026,16/03/2026,21/03/2026,9,9,Completed,Material Shortage,TRUE,High,6,7,5
PRD-7013,FG-2001,PLT-2000,05/03/2026,12/03/2026,12/03/2026,21/03/2026,21/03/2026,6,6,Completed,No Delay,FALSE,Normal,9,9,0
PRD-7014,FG-3001,PLT-1000,08/03/2026,15/03/2026,20/03/2026,23/03/2026,29/03/2026,5,5,Completed,Supplier Delay,TRUE,Urgent,8,9,6
PRD-7015,FG-4001,PLT-2000,11/03/2026,18/03/2026,18/03/2026,24/03/2026,25/03/2026,11,11,Completed,Capacity Constraint,FALSE,Normal,6,7,1
